Pathway,Gene
Glycolysis,ENSG00000156515
Glycolysis,ENSG00000106633
Glycolysis,ENSG00000152556
Glycolysis,ENSG00000141959
Glycolysis,ENSG00000067057
Glycolysis,ENSG00000143627 
Glycolysis,ENSG00000067225 
Glycolysis,ENSG00000105220 
Glycolysis,ENSG00000074800 
Glycolysis,ENSG00000111674 
Glycolysis,ENSG00000108515 
Gluconeogenesis,ENSG00000165140 
Gluconeogenesis,ENSG00000130957 
Gluconeogenesis,ENSG00000131482 
Gluconeogenesis,ENSG00000152254 
Gluconeogenesis,ENSG00000141349 
TCA cycle,ENSG00000138413 
TCA cycle,ENSG00000182054 
TCA cycle,ENSG00000166411 
TCA cycle,ENSG00000166411 
TCA cycle,ENSG00000067829 
TCA cycle,ENSG00000062485 
TCA cycle,ENSG00000105953 
TCA cycle,ENSG00000197444 
TCA cycle,ENSG00000122729 
TCA cycle,ENSG00000100412 
b-oxidation,ENSG00000060971 
b-oxidation,ENSG00000167315 
SCFA metabolism,ENSG00000122971 
SCFA metabolism,ENSG00000196177 
SCFA metabolism,ENSG00000154930 
SCFA metabolism,ENSG00000131069 
SCFA metabolism,ENSG00000111058 
MCFA metabolism,ENSG00000117054 
MCFA metabolism,ENSG00000166743 
LCFA metabolism,ENSG00000110090 
LCFA metabolism,ENSG00000205560 
LCFA metabolism,ENSG00000169169 
LCFA metabolism,ENSG00000157184 
LCFA metabolism,ENSG00000115361 
LCFA metabolism,ENSG00000151726 
LCFA metabolism,ENSG00000123983 
LCFA metabolism,ENSG00000068366 
LCFA metabolism,ENSG00000197142 
LCFA metabolism,ENSG00000164398 
"Ala, Asp, Glu metabolism",ENSG00000120053 
"Ala, Asp, Glu metabolism",ENSG00000125166 
"Ala, Asp, Glu metabolism",ENSG00000167701 
"Ala, Asp, Glu metabolism",ENSG00000166123 
BCAA metabolism,ENSG00000060982 
BCAA metabolism,ENSG00000105552 
BCAA metabolism,ENSG00000248098 
BCAA metabolism,ENSG00000083123 
BCAA metabolism,ENSG00000137992 
BCAA metabolism,ENSG00000091140 